0-1,206850160,lavadora,linea blanca,100000,01/10/2016
0-2,206850160,plancha,linea blanca,200000,02/10/2016
0-3,206850160,secadora,linea blanca,300000,03/10/2016
0-4,206850160,microhondas,linea blanca,400000,04/10/2016
0-5,206850160,extractor,linea blanca,500000,05/10/2016
0-6,206850160,refrigeradora,linea blanca,600000,06/10/2016
0-7,206850160,cocina,linea blanca,700000,07/10/2016
0-8,206850160,olla-arroz,linea blanca,800000,08/10/2016
0-9,206850160,olla-coc-lento,linea blanca,210032,09/10/2016
0-10,206850160,licuadora,linea blanca,707118,10/10/2016
0-11,5328813,plancha,linea blanca,453515,20/10/2016
0-12,4616431,plancha,linea blanca,348272,21/10/2016
0-13,6959509,plancha,linea blanca,135108,22/10/2016
0-14,8978405,plancha,linea blanca,566227,23/10/2016
0-15,5871956,plancha,linea blanca,803205,24/10/2016
0-16,8710378,plancha,linea blanca,315853,25/10/2016
0-17,6818916,plancha,linea blanca,271391,26/10/2016
0-18,6868996,plancha,linea blanca,26549,27/10/2016
0-19,1076903,plancha,linea blanca,238886,28/10/2016
0-20,1449698,plancha,linea blanca,34106,29/10/2016
0-21,4050026,refri,linea blanca,745657,30/10/2016
0-22,8100050,refri,linea blanca,652607,31/10/2016
0-23,8575299,refri,linea blanca,704995,01/11/2016
0-24,8302969,refri,linea blanca,986271,02/11/2016
0-25,4293613,refri,linea blanca,183140,03/11/2016
0-26,8920532,refri,linea blanca,499026,04/11/2016
0-27,2217030,refri,linea blanca,474324,05/11/2016
0-28,8621586,refri,linea blanca,257573,06/11/2016
0-29,5992732,refri,linea blanca,300159,07/11/2016
0-30,4518230,refri,linea blanca,39290,08/11/2016
0-31,1437974,refri,linea blanca,549634,09/11/2016
0-32,2961228,refri,linea blanca,235198,10/11/2016
0-33,8823401,refri,linea blanca,312046,11/11/2016
0-34,8684010,refri,linea blanca,80556,12/11/2016
0-35,5270344,refri,linea blanca,747089,13/11/2016
0-36,4248875,refri,linea blanca,1897,14/11/2016
0-37,8782281,refri,linea blanca,435959,15/11/2016
0-38,4799228,refri,linea blanca,382429,16/11/2016
0-39,4348753,refri,linea blanca,873784,17/11/2016
0-40,4708363,refri,linea blanca,347469,18/11/2016
0-41,6737109,refri,linea blanca,124046,19/11/2016
0-42,2334699,refri,linea blanca,20023,20/11/2016
0-43,3451731,refri,linea blanca,306669,21/11/2016
0-44,4432795,refri,linea blanca,668726,22/11/2016
0-45,3140402,refri,linea blanca,245830,23/11/2016
0-46,3997295,refri,linea blanca,131707,24/11/2016
0-47,7421017,refri,linea blanca,649794,25/11/2016
0-48,1480577,refri,linea blanca,947629,26/11/2016
0-49,7024027,refri,linea blanca,886591,27/11/2016
0-50,6701122,refri,linea blanca,381744,28/11/2016
0-51,2447302,refri,linea blanca,83268,29/11/2016
0-52,4513832,refri,linea blanca,398682,30/11/2016
0-53,2415984,refri,linea blanca,266229,01/12/2016
0-54,2545839,refri,linea blanca,794428,02/12/2016
0-55,3606065,refri,linea blanca,276206,03/12/2016
0-56,4551588,refri,linea blanca,937601,04/12/2016
0-57,7206550,refri,linea blanca,350094,05/12/2016
0-58,5823521,refri,linea blanca,977771,06/12/2016
0-59,5098254,refri,linea blanca,243077,07/12/2016
0-60,7556677,refri,linea blanca,978636,08/12/2016
0-61,3414304,refri,linea blanca,487235,09/12/2016
0-62,1542604,refri,linea blanca,73617,10/12/2016
0-63,4780656,refri,linea blanca,440755,11/12/2016
0-64,7136611,refri,linea blanca,390569,12/12/2016
0-65,4380727,refri,linea blanca,551979,13/12/2016
0-66,6591805,refri,linea blanca,699205,14/12/2016
0-67,5555192,refri,linea blanca,707289,15/12/2016
0-68,3001387,refri,linea blanca,471047,16/12/2016
0-69,8374723,refri,linea blanca,788083,17/12/2016
0-70,6032801,refri,linea blanca,550076,18/12/2016
0-71,1011184,desayunador,muebles,825142,19/12/2016
0-72,3804803,desayunador,muebles,322663,20/12/2016
0-73,8913092,desayunador,muebles,819440,21/12/2016
0-74,7792491,desayunador,muebles,685526,22/12/2016
0-75,7851696,desayunador,muebles,925943,23/12/2016
0-76,2079273,desayunador,muebles,140475,24/12/2016
0-77,7830232,desayunador,muebles,513739,25/12/2016
0-78,2989496,desayunador,muebles,777899,26/12/2016
0-79,5201152,desayunador,muebles,716637,27/12/2016
0-80,4769102,desayunador,muebles,326871,28/12/2016
0-81,7792981,desayunador,muebles,666959,29/12/2016
0-82,5158253,desayunador,muebles,316019,30/12/2016
0-83,2897755,desayunador,muebles,645547,31/12/2016
0-84,2835655,desayunador,muebles,48283,01/01/2017
0-85,6347804,desayunador,muebles,527129,02/01/2017
0-86,2808828,desayunador,muebles,325192,03/01/2017
0-87,2524237,desayunador,muebles,432218,04/01/2017
0-88,4329859,desayunador,muebles,966282,05/01/2017
0-89,2407496,desayunador,muebles,875184,06/01/2017
0-90,7146482,desayunador,muebles,670543,07/01/2017
0-91,2869458,desayunador,muebles,815697,08/01/2017
0-92,2501173,desayunador,muebles,895634,09/01/2017
0-93,7239611,desayunador,muebles,195068,10/01/2017
0-94,1247452,desayunador,muebles,448970,11/01/2017
0-95,8473890,desayunador,muebles,620009,12/01/2017
0-96,3926644,desayunador,muebles,353547,13/01/2017
0-97,5720207,desayunador,muebles,339406,14/01/2017
0-98,1821763,desayunador,muebles,865709,15/01/2017
0-99,1758492,desayunador,muebles,473368,16/01/2017
0-100,4518338,desayunador,muebles,206372,17/01/2017
0-101,7187566,desayunador,muebles,825091,18/01/2017
0-102,1565256,desayunador,muebles,12987,19/01/2017
0-103,2885208,desayunador,muebles,28783,20/01/2017
0-104,4342586,desayunador,muebles,187989,21/01/2017
0-105,8659275,desayunador,muebles,305705,22/01/2017
0-106,5967483,desayunador,muebles,609725,23/01/2017
0-107,2184170,desayunador,muebles,213754,24/01/2017
0-108,7031388,desayunador,muebles,219619,25/01/2017
0-109,4371004,desayunador,muebles,344330,26/01/2017
